"Year Month","State","Industry","Suspicious Activity","Count"
"2019 January","Alabama","Casino/Card Club - Tribal Authorized Casino","Check","1"
"2019 January","Alabama","Casino/Card Club - Tribal Authorized Casino","Credit/Debit Card","1"
"2019 January","Alabama","Casino/Card Club - Tribal Authorized Casino","[Total]","2"
"2019 January","Alabama","Depository Institution","ACH","126"
"2019 January","Alabama","Depository Institution","Advance Fee","4"
"2019 January","Alabama","Depository Institution","Business Loan","1"
"2019 January","Alabama","Depository Institution","Check","498"
"2019 January","Alabama","Depository Institution","Consumer Loan (see instructions)","49"
"2019 January","Alabama","Depository Institution","Credit/Debit Card","44"
"2019 January","Alabama","Depository Institution","Healthcare/Public or Private Health Insurance","1"
"2019 January","Alabama","Depository Institution","Mail","3"
"2019 January","Alabama","Depository Institution","Other Fraud (Type)","129"
"2019 January","Alabama","Depository Institution","Ponzi Scheme","1"
"2019 January","Alabama","Depository Institution","Securities","1"
"2019 January","Alabama","Depository Institution","Wire","104"
"2019 January","Alabama","Depository Institution","[Total]","961"
"2019 January","Alabama","Insurance Company","Check","1"
"2019 January","Alabama","Insurance Company","[Total]","1"
"2019 January","Alabama","Money Services Business (MSB)","Advance Fee","6"
"2019 January","Alabama","Money Services Business (MSB)","Check","20"
"2019 January","Alabama","Money Services Business (MSB)","Credit/Debit Card","3"
"2019 January","Alabama","Money Services Business (MSB)","Other Fraud (Type)","195"
"2019 January","Alabama","Money Services Business (MSB)","Wire","86"
"2019 January","Alabama","Money Services Business (MSB)","[Total]","310"
"2019 January","Alabama","Other","Wire","1"
"2019 January","Alabama","Other","[Total]","1"
"2019 January","Alabama","Securities/Futures","Check","1"
"2019 January","Alabama","Securities/Futures","Mail","1"
"2019 January","Alabama","Securities/Futures","Other Fraud (Type)","1"
"2019 January","Alabama","Securities/Futures","Wire","2"
"2019 January","Alabama","Securities/Futures","[Total]","5"
"2019 January","Alabama","[Total]","[Total]","1,280"
"2019 January","Alaska","Depository Institution","ACH","8"
"2019 January","Alaska","Depository Institution","Check","24"
"2019 January","Alaska","Depository Institution","Consumer Loan (see instructions)","7"
"2019 January","Alaska","Depository Institution","Credit/Debit Card","8"
"2019 January","Alaska","Depository Institution","Other Fraud (Type)","13"
"2019 January","Alaska","Depository Institution","Wire","4"
"2019 January","Alaska","Depository Institution","[Total]","64"
"2019 January","Alaska","Money Services Business (MSB)","Other Fraud (Type)","26"
"2019 January","Alaska","Money Services Business (MSB)","Wire","13"
"2019 January","Alaska","Money Services Business (MSB)","[Total]","39"
"2019 January","Alaska","Securities/Futures","ACH","1"
"2019 January","Alaska","Securities/Futures","Other Fraud (Type)","1"
"2019 January","Alaska","Securities/Futures","Wire","1"
"2019 January","Alaska","Securities/Futures","[Total]","3"
"2019 January","Alaska","[Total]","[Total]","106"
"2019 January","Arizona","Casino/Card Club - Tribal Authorized Casino","Check","5"
"2019 January","Arizona","Casino/Card Club - Tribal Authorized Casino","Credit/Debit Card","7"
"2019 January","Arizona","Casino/Card Club - Tribal Authorized Casino","[Total]","12"
"2019 January","Arizona","Depository Institution","ACH","16"
"2019 January","Arizona","Depository Institution","Advance Fee","3"
"2019 January","Arizona","Depository Institution","Check","257"
"2019 January","Arizona","Depository Institution","Consumer Loan (see instructions)","18"
"2019 January","Arizona","Depository Institution","Credit/Debit Card","41"
"2019 January","Arizona","Depository Institution","Healthcare/Public or Private Health Insurance","2"
"2019 January","Arizona","Depository Institution","Mail","3"
"2019 January","Arizona","Depository Institution","Mass-Marketing","43"
"2019 January","Arizona","Depository Institution","Other Fraud (Type)","92"
"2019 January","Arizona","Depository Institution","Wire","58"
"2019 January","Arizona","Depository Institution","[Total]","533"
"2019 January","Arizona","Loan or Finance Company","Consumer Loan (see instructions)","2"
"2019 January","Arizona","Loan or Finance Company","Other Fraud (Type)","1"
"2019 January","Arizona","Loan or Finance Company","[Total]","3"
