"Year Month","State","Industry","Suspicious Activity","Count"
"2021 January","Alabama","Casino/Card Club - Tribal Authorized Casino","Credit/Debit Card","2"
"2021 January","Alabama","Casino/Card Club - Tribal Authorized Casino","Other Fraud (Type)","2"
"2021 January","Alabama","Casino/Card Club - Tribal Authorized Casino","[Total]","4"
"2021 January","Alabama","Depository Institution","ACH","286"
"2021 January","Alabama","Depository Institution","Advance Fee","3"
"2021 January","Alabama","Depository Institution","Business Loan","7"
"2021 January","Alabama","Depository Institution","Check","665"
"2021 January","Alabama","Depository Institution","Consumer Loan (see instructions)","23"
"2021 January","Alabama","Depository Institution","Credit/Debit Card","85"
"2021 January","Alabama","Depository Institution","Healthcare/Public or Private Health Insurance","2"
"2021 January","Alabama","Depository Institution","Mail","3"
"2021 January","Alabama","Depository Institution","Other Fraud (Type)","311"
"2021 January","Alabama","Depository Institution","Pyramid Scheme","1"
"2021 January","Alabama","Depository Institution","Wire","67"
"2021 January","Alabama","Depository Institution","[Total]","1,453"
"2021 January","Alabama","Insurance Company","ACH","1"
"2021 January","Alabama","Insurance Company","Mail","1"
"2021 January","Alabama","Insurance Company","[Total]","2"
"2021 January","Alabama","Money Services Business (MSB)","Advance Fee","1"
"2021 January","Alabama","Money Services Business (MSB)","Check","7"
"2021 January","Alabama","Money Services Business (MSB)","Credit/Debit Card","2"
"2021 January","Alabama","Money Services Business (MSB)","Other Fraud (Type)","56"
"2021 January","Alabama","Money Services Business (MSB)","Wire","35"
"2021 January","Alabama","Money Services Business (MSB)","[Total]","101"
"2021 January","Alabama","Other","Other Fraud (Type)","1"
"2021 January","Alabama","Other","[Total]","1"
"2021 January","Alabama","Securities/Futures","Check","1"
"2021 January","Alabama","Securities/Futures","Other Fraud (Type)","2"
"2021 January","Alabama","Securities/Futures","Wire","1"
"2021 January","Alabama","Securities/Futures","[Total]","4"
"2021 January","Alabama","[Total]","[Total]","1,565"
"2021 January","Alaska","Depository Institution","ACH","13"
"2021 January","Alaska","Depository Institution","Check","40"
"2021 January","Alaska","Depository Institution","Consumer Loan (see instructions)","2"
"2021 January","Alaska","Depository Institution","Credit/Debit Card","18"
"2021 January","Alaska","Depository Institution","Other Fraud (Type)","21"
"2021 January","Alaska","Depository Institution","Wire","7"
"2021 January","Alaska","Depository Institution","[Total]","101"
"2021 January","Alaska","Money Services Business (MSB)","Advance Fee","1"
"2021 January","Alaska","Money Services Business (MSB)","Other Fraud (Type)","8"
"2021 January","Alaska","Money Services Business (MSB)","Wire","6"
"2021 January","Alaska","Money Services Business (MSB)","[Total]","15"
"2021 January","Alaska","Securities/Futures","Check","1"
"2021 January","Alaska","Securities/Futures","Other Fraud (Type)","1"
"2021 January","Alaska","Securities/Futures","[Total]","2"
"2021 January","Alaska","[Total]","[Total]","118"
"2021 January","American Samoa","Depository Institution","Other Fraud (Type)","1"
"2021 January","American Samoa","Depository Institution","[Total]","1"
"2021 January","American Samoa","[Total]","[Total]","1"
"2021 January","APO / DPO / FPO","Money Services Business (MSB)","Other Fraud (Type)","3"
"2021 January","APO / DPO / FPO","Money Services Business (MSB)","Wire","2"
"2021 January","APO / DPO / FPO","Money Services Business (MSB)","[Total]","5"
"2021 January","APO / DPO / FPO","[Total]","[Total]","5"
"2021 January","Arizona","Casino/Card Club - Tribal Authorized Casino","Check","3"
"2021 January","Arizona","Casino/Card Club - Tribal Authorized Casino","Credit/Debit Card","5"
"2021 January","Arizona","Casino/Card Club - Tribal Authorized Casino","[Total]","8"
"2021 January","Arizona","Depository Institution","ACH","94"
"2021 January","Arizona","Depository Institution","Advance Fee","3"
"2021 January","Arizona","Depository Institution","Business Loan","5"
"2021 January","Arizona","Depository Institution","Check","311"
"2021 January","Arizona","Depository Institution","Consumer Loan (see instructions)","2"
"2021 January","Arizona","Depository Institution","Credit/Debit Card","42"
"2021 January","Arizona","Depository Institution","Mail","7"
